iter	Passed	Remaining
0	62	25021
1	81	16308
2	93	12356
3	107	10597
4	117	9321
5	127	8379
6	137	7746
7	149	7304
8	159	6929
9	169	6627
10	179	6352
11	189	6139
12	200	5962
13	211	5836
14	222	5705
15	232	5584
16	242	5468
17	252	5368
18	263	5279
19	273	5201
20	285	5145
21	297	5104
22	309	5075
23	319	5013
24	333	4998
25	344	4950
26	354	4898
27	369	4906
28	383	4912
29	396	4889
30	408	4860
31	419	4822
32	432	4809
33	443	4777
34	454	4741
35	464	4696
36	475	4666
37	486	4637
38	496	4598
39	507	4567
40	517	4532
41	527	4500
42	538	4470
43	548	4435
44	559	4416
45	570	4389
46	580	4358
47	590	4332
48	600	4303
49	611	4278
50	623	4268
51	634	4245
52	646	4230
53	658	4220
54	669	4197
55	678	4170
56	689	4149
57	699	4126
58	711	4111
59	724	4103
60	736	4093
61	749	4086
62	761	4071
63	772	4053
64	784	4045
65	800	4051
66	814	4048
67	824	4027
68	836	4011
69	847	3995
70	858	3977
71	871	3970
72	883	3956
73	893	3937
74	905	3922
75	916	3908
76	927	3889
77	937	3871
78	949	3858
79	961	3845
80	972	3828
81	982	3811
82	994	3797
83	1005	3783
84	1016	3765
85	1027	3750
86	1039	3739
87	1049	3721
88	1061	3707
89	1072	3694
90	1083	3678
91	1095	3666
92	1107	3655
93	1118	3641
94	1129	3625
95	1140	3612
96	1152	3599
97	1162	3582
98	1173	3568
99	1185	3555
100	1195	3539
101	1206	3525
102	1216	3509
103	1226	3492
104	1237	3476
105	1247	3461
106	1257	3443
107	1267	3427
108	1279	3415
109	1289	3399
110	1299	3383
111	1309	3366
112	1319	3351
113	1330	3336
114	1340	3321
115	1352	3312
116	1364	3299
117	1373	3283
118	1384	3269
119	1394	3254
120	1404	3239
121	1415	3224
122	1424	3208
123	1434	3193
124	1445	3179
125	1454	3163
126	1464	3148
127	1474	3132
128	1485	3120
129	1495	3105
130	1504	3090
131	1514	3075
132	1525	3062
133	1535	3047
134	1545	3033
